state+city+zip+pop+loc
MA+PETERSHAM+1366+1131+[-72.189349, 42.489761]
MA+ROWE+1367+630+[-72.925776, 42.695289]
MA+SHELBURNE FALLS+1370+4525+[-72.739059, 42.602203]
MA+SOUTH DEERFIELD+1373+5118+[-72.615268, 42.475616]
MA+SUNDERLAND+1375+3399+[-72.567569, 42.453947]
MA+TURNERS FALLS+1376+7100+[-72.54701, 42.606521]
MA+WENDELL+1379+393+[-72.400851, 42.565644]
MA+FITCHBURG+1420+41194+[-71.803133, 42.579563]
MA+ASHBURNHAM+1430+5433+[-71.92666, 42.649614]
MA+ASHBY+1431+2649+[-71.817369, 42.674462]
MA+AYER+1432+6871+[-71.578763, 42.55914]
MA+FT DEVENS+1433+8480+[-71.621819, 42.532416]
MA+BALDWINVILLE+1436+4386+[-72.064647, 42.593568]
MA+GARDNER+1440+20125+[-71.9898, 42.57405]
MA+GROTON+1450+7504+[-71.558371, 42.612351]
MA+HARVARD+1451+4445+[-71.575293, 42.498565]
MA+HUBBARDSTON+1452+2797+[-72.001159, 42.486538]
MA+LEOMINSTER+1453+38145+[-71.756308, 42.52744]
MA+LITTLETON+1460+7066+[-71.487667, 42.540132]
MA+LUNENBURG+1462+9117+[-71.726642, 42.58843]
MA+PEPPERELL+1463+10178+[-71.593392, 42.668888]
MA+SHIRLEY CENTER+1464+6118+[-71.646444, 42.558653]
MA+TEMPLETON+1468+2058+[-72.064971, 42.545976]
MA+TOWNSEND+1469+6112+[-71.689646, 42.652511]
MA+WESTMINSTER+1473+6191+[-71.909599, 42.548319]
MA+W TOWNSEND+1474+2452+[-71.74057, 42.670404]
MA+WINCHENDON+1475+8805+[-72.047524, 42.678943]
MA+AUBURN+1501+15007+[-71.839144, 42.205502]
MA+BERLIN+1503+2293+[-71.635634, 42.384438]
MA+BLACKSTONE+1504+8023+[-71.52691, 42.028708]
MA+BOYLSTON+1505+3517+[-71.731042, 42.337727]
MA+BROOKFIELD+1506+2968+[-72.098887, 42.199141]
MA+CHARLTON+1507+9576+[-71.966384, 42.137902]
