state+city+zip+pop+loc
NY+PARISHVILLE+13672+300+[-74.794062, 44.592655]
NY+PHILADELPHIA+13673+2393+[-75.709917, 44.158896]
NY+PLESSIS+13675+111+[-75.849577, 44.277364]
NY+POTSDAM+13676+16342+[-74.968076, 44.659246]
NY+REDWOOD+13679+1735+[-75.814975, 44.321077]
NY+RENSSELAER FALLS+13680+1027+[-75.32261, 44.590635]
NY+RICHVILLE+13681+1502+[-75.402455, 44.40454]
NY+RODMAN+13682+1097+[-75.871879, 43.862217]
NY+DEGRASSE+13684+717+[-75.113778, 44.380668]
NY+SACKETS HARBOR+13685+1943+[-76.105039, 43.93983]
NY+SOUTH COLTON+13687+169+[-74.860726, 44.504097]
NY+STAR LAKE+13690+1108+[-75.033015, 44.157762]
NY+THERESA+13691+2558+[-75.801419, 44.211288]
NY+THREE MILE BAY+13693+250+[-76.26893, 44.055102]
NY+WADDINGTON+13694+1380+[-75.204887, 44.856373]
NY+WANAKENA+13695+705+[-75.090765, 44.2184]
NY+WEST STOCKHOLM+13696+301+[-74.891932, 44.728951]
NY+WINTHROP+13697+2805+[-74.806586, 44.758289]
NY+WOODVILLE+13698+847+[-76.172002, 43.781245]
NY+AFTON+13730+2801+[-75.536604, 42.241737]
NY+ANDES+13731+985+[-74.788726, 42.156925]
NY+APALACHIN+13732+8712+[-76.15194, 42.055579]
NY+BAINBRIDGE+13733+5073+[-75.489411, 42.311975]
NY+BARTON+13734+2081+[-76.398349, 42.069534]
NY+BERKSHIRE+13736+2652+[-76.192008, 42.307435]
NY+BLOOMVILLE+13739+1022+[-74.807118, 42.352236]
NY+BOVINA CENTER+13740+492+[-74.766112, 42.27094]
NY+CANDOR+13743+4850+[-76.332196, 42.206274]
NY+CASTLE CREEK+13744+581+[-75.908746, 42.256805]
NY+CHENANGO FORKS+13746+3833+[-75.824236, 42.263659]
NY+CONKLIN+13748+4058+[-75.807624, 42.045429]
NY+DAVENPORT+13750+777+[-74.835709, 42.471081]
NY+DAVENPORT CENTER+13751+62+[-74.906975, 42.452303]
NY+DE LANCEY+13752+785+[-74.922899, 42.188984]
NY+MEREDITH+13753+5399+[-74.922823, 42.287851]
NY+DEPOSIT+13754+3047+[-75.428745, 42.066581]
NY+DOWNSVILLE+13755+615+[-75.015216, 42.071634]
NY+EAST BRANCH+13756+839+[-75.125189, 41.984366]
NY+EAST MEREDITH+13757+1478+[-74.898699, 42.410098]
NY+ENDWELL+13760+46236+[-76.056927, 42.114089]
NY+FRANKLIN+13775+1807+[-75.148475, 42.342117]
NY+GILBERTSVILLE+13776+10+[-75.360929, 42.432951]
NY+GLEN AUBREY+13777+1380+[-75.980544, 42.257289]
NY+GREENE+13778+5025+[-75.75954, 42.337301]
NY+GUILFORD+13780+738+[-75.482318, 42.426901]
NY+HAMDEN+13782+928+[-74.998391, 42.17873]
NY+CADOSIA+13783+2766+[-75.265306, 41.959667]
NY+HARPERSFIELD+13786+309+[-74.687059, 42.449901]
NY+HARPURSVILLE+13787+4349+[-75.654538, 42.18232]
NY+HOBART+13788+975+[-74.675889, 42.359409]
NY+JOHNSON CITY+13790+20788+[-75.968492, 42.126683]
NY+KIRKWOOD+13795+4133+[-75.796711, 42.069463]
NY+LAURENS+13796+1703+[-75.127947, 42.538261]
NY+LISLE+13797+2331+[-76.030237, 42.340923]
NY+MC DONOUGH+13801+881+[-75.762305, 42.506807]
NY+MAINE+13802+254+[-76.059526, 42.196204]
NY+MARATHON+13803+3586+[-76.039526, 42.452725]
NY+MASONVILLE+13804+15+[-75.215485, 42.262346]
NY+MERIDALE+13806+16+[-74.980258, 42.377987]
NY+MILFORD+13807+1409+[-74.968498, 42.614801]
NY+MORRIS+13808+1359+[-75.244764, 42.547807]
NY+MOUNT UPTON+13809+1462+[-75.400268, 42.408064]
NY+MOUNT VISION+13810+1261+[-75.126366, 42.606763]
NY+NEWARK VALLEY+13811+4968+[-76.16248, 42.228136]
NY+NICHOLS+13812+2888+[-76.361039, 42.031961]
NY+NINEVEH+13813+975+[-75.548409, 42.162481]
NY+NORWICH+13815+15380+[-75.527431, 42.54145]
NY+ONEONTA+13820+18196+[-75.049072, 42.462453]
NY+OTEGO+13825+5075+[-75.207883, 42.41333]
NY+OUAQUAGA+13826+75+[-75.647351, 42.119293]
NY+OWEGO+13827+11378+[-76.252797, 42.113809]
NY+BRISBEN+13830+5086+[-75.606256, 42.443375]
NY+PLYMOUTH+13832+445+[-75.617163, 42.633592]
NY+SANITARIA SPRING+13833+4777+[-75.790978, 42.195735]
NY+PORTLANDVILLE+13834+916+[-74.976059, 42.510303]
NY+RICHFORD+13835+1383+[-76.186501, 42.394521]
NY+SIDNEY+13838+4946+[-75.3908, 42.307368]
NY+SIDNEY CENTER+13839+2020+[-75.287057, 42.244085]
NY+SMITHVILLE FLATS+13841+484+[-75.823719, 42.398894]
NY+SOUTH KORTRIGHT+13842+253+[-74.725901, 42.376994]
NY+SOUTH NEW BERLIN+13843+2702+[-75.35249, 42.530569]
NY+SOUTH PLYMOUTH+13844+510+[-75.633, 42.605254]
NY+TREADWELL+13846+60+[-75.058754, 42.362963]
NY+UNADILLA+13849+4027+[-75.336589, 42.325199]
NY+VESTAL+13850+27686+[-76.011757, 42.077106]
NY+WALTON+13856+7282+[-75.153177, 42.175647]
NY+WELLS BRIDGE+13859+232+[-75.256565, 42.357973]
NY+WEST ONEONTA+13861+3471+[-75.095689, 42.453854]
NY+WHITNEY POINT+13862+4105+[-75.952231, 42.338449]
NY+WILLET+13863+188+[-75.901434, 42.452044]
NY+WILLSEYVILLE+13864+697+[-76.389721, 42.302915]
NY+WINDSOR+13865+6820+[-75.672828, 42.074482]
NY+BINGHAMTON+13901+21666+[-75.886517, 42.146307]
NY+BINGHAMTON+13903+20353+[-75.897676, 42.081102]
NY+BINGHAMTON+13904+10257+[-75.865269, 42.11714]
NY+BINGHAMTON+13905+30741+[-75.930865, 42.115051]
NY+AKRON+14001+7924+[-78.508365, 43.024944]
NY+ALABAMA+14003+68+[-78.385231, 43.071888]
NY+ALDEN+14004+12711+[-78.525707, 42.89839]
NY+ALEXANDER+14005+1692+[-78.25889, 42.915851]
NY+ANGOLA+14006+11509+[-79.049651, 42.636581]
NY+APPLETON+14008+940+[-78.637217, 43.310535]
NY+ARCADE+14009+4898+[-78.413418, 42.562995]
NY+ATTICA+14011+9372+[-78.279826, 42.849918]
NY+BARKER+14012+2441+[-78.542004, 43.336779]
NY+BASOM+14013+2062+[-78.395143, 43.080724]
NY+BATAVIA+14020+22835+[-78.192869, 43.000316]
NY+BLISS+14024+1498+[-78.258084, 42.579936000000004]
NY+BOSTON+14025+2617+[-78.73909, 42.631384]
NY+BOWMANSVILLE+14026+285+[-78.682961, 42.947826]
NY+BURT+14028+2363+[-78.714097, 43.322089]
NY+CHAFFEE+14030+1481+[-78.502543, 42.560491999999996]
NY+CLARENCE+14031+7712+[-78.616228, 42.980965]
NY+CLARENCE CENTER+14032+3996+[-78.63903, 43.0362]
NY+COLDEN+14033+2380+[-78.692078, 42.655052]
NY+COLLINS+14034+2194+[-78.892974, 42.500082]
NY+CORFU+14036+4841+[-78.392906, 42.977734]
NY+COWLESVILLE+14037+1017+[-78.448136, 42.811245]
NY+DALE+14039+72+[-78.174865, 42.826284]
NY+DARIEN CENTER+14040+1817+[-78.387782, 42.894806]
NY+DAYTON+14041+246+[-78.981842, 42.423075]
NY+DELEVAN+14042+4516+[-78.479326, 42.492598]
NY+DEPEW+14043+26460+[-78.704052, 42.904973]
NY+DERBY+14047+6436+[-78.983365, 42.697445]
NY+VAN BUREN BAY+14048+20303+[-79.329366, 42.475907]
NY+SWORMVILLE+14051+12714+[-78.705035, 43.029168]
NY+EAST AURORA+14052+17244+[-78.601992, 42.770138]
NY+EAST BETHANY+14054+1569+[-78.134206, 42.916619]
NY+EAST CONCORD+14055+1216+[-78.610972, 42.546585]
NY+EDEN+14057+7427+[-78.878077, 42.650552]
NY+ELBA+14058+2331+[-78.170383, 43.089739]
NY+ELMA+14059+8130+[-78.634257, 42.834002]
NY+FARMERSVILLE STA+14060+395+[-78.291533, 42.44827]
NY+FORESTVILLE+14062+2858+[-79.160743, 42.448229]
NY+FREDONIA+14063+10738+[-79.333914, 42.433345]
NY+FREEDOM+14065+2001+[-78.35013, 42.489693]
NY+GAINESVILLE+14066+1536+[-78.179516, 42.61897]
NY+GASPORT+14067+6010+[-78.574536, 43.210587]
NY+GETZVILLE+14068+5685+[-78.753184, 43.023989]
NY+GLENWOOD+14069+632+[-78.638634, 42.600094]
NY+GOWANDA+14070+6665+[-78.933902, 42.471202]
NY+GRAND ISLAND+14072+17561+[-78.959059, 43.018266]
NY+HAMBURG+14075+38851+[-78.838853, 42.733404]
NY+HOLLAND+14080+4004+[-78.543889, 42.639582]
NY+IRVING+14081+2993+[-79.059634, 42.573866]
NY+JAVA CENTER+14082+613+[-78.392527, 42.66342]
NY+JAVA VILLAGE+14083+35+[-78.44101, 42.676852]
NY+LAKE VIEW+14085+4936+[-78.932693, 42.721535]
NY+LANCASTER+14086+24540+[-78.663085, 42.901680999999996]
NY+LAWTONS+14091+1510+[-78.921222, 42.540364]
NY+LEWISTON+14092+10540+[-79.021547, 43.172165]
NY+LOCKPORT+14094+48398+[-78.692344, 43.159987]
NY+LYNDONVILLE+14098+3109+[-78.381057, 43.323312]
NY+MACHIAS+14101+1860+[-78.50586, 42.408271]
NY+MARILLA+14102+1063+[-78.558656, 42.833216]
NY+MEDINA+14103+12042+[-78.387422, 43.218428]
NY+MIDDLEPORT+14105+3929+[-78.484055, 43.218257]
NY+NEWFANE+14108+5261+[-78.706972, 43.272443]
NY+NORTH COLLINS+14111+2429+[-78.91073, 42.589648]
NY+NORTH JAVA+14113+606+[-78.337958, 42.677631]
NY+NORTH TONAWANDA+14120+51399+[-78.850997, 43.049828]
NY+OAKFIELD+14125+3760+[-78.270179, 43.071726]
NY+ORCHARD PARK+14127+26554+[-78.751834, 42.763891]
NY+PERRYSBURG+14129+2198+[-78.998108, 42.472289]
NY+RANSOMVILLE+14131+5836+[-78.898159, 43.228602]
NY+SANBORN+14132+5167+[-78.878522, 43.141879]
NY+SARDINIA+14134+133+[-78.506415, 42.532976]
NY+SILVER CREEK+14136+5768+[-79.162805, 42.535675]
NY+SOUTH DAYTON+14138+1600+[-79.050132, 42.371803]
NY+SOUTH WALES+14139+2269+[-78.545219, 42.706271]
NY+SPRINGVILLE+14141+7146+[-78.684717, 42.519982]
NY+STAFFORD+14143+2076+[-78.089783, 42.982894]
NY+STRYKERSVILLE+14145+1374+[-78.434714, 42.724892]
NY+TONAWANDA+14150+53410+[-78.85472, 43.002837]
NY+VARYSBURG+14167+1782+[-78.316749, 42.745935]
NY+WEST FALLS+14170+2217+[-78.677937, 42.70532]
NY+WEST VALLEY+14171+2600+[-78.627978, 42.43153]
NY+WILSON+14172+3441+[-78.824396, 43.29681]
NY+YOUNGSTOWN+14174+5728+[-79.024545, 43.246075]
NY+BUFFALO+14201+16682+[-78.884575, 42.896659]
NY+BUFFALO+14202+2828+[-78.877948, 42.887038]
NY+BUFFALO+14203+1211+[-78.868143, 42.893938]
NY+BUFFALO+14204+10962+[-78.859736, 42.883978]
NY+BUFFALO+14206+25496+[-78.810375, 42.881132]
NY+BUFFALO+14207+23890+[-78.897815, 42.949062]
NY+BUFFALO+14208+14705+[-78.850487, 42.915416]
NY+BUFFALO+14209+8865+[-78.865629, 42.913]
NY+BUFFALO+14210+18506+[-78.82055, 42.861432]
NY+BUFFALO+14211+38411+[-78.822477, 42.908153]
NY+BUFFALO+14212+19935+[-78.824458, 42.894553]
NY+BUFFALO+14213+32876+[-78.889461, 42.916675]
NY+BUFFALO+14214+21770+[-78.837403, 42.941429]
NY+BUFFALO+14215+46789+[-78.811504, 42.933536]
NY+BUFFALO+14216+24852+[-78.859865, 42.949914]
NY+KENMORE+14217+25547+[-78.872948, 42.968618]
NY+LACKAWANNA+14218+22309+[-78.817263, 42.818301]
NY+BLASDELL+14219+13376+[-78.822228, 42.790039]
NY+BUFFALO+14220+28994+[-78.818205, 42.844138]
NY+WILLIAMSVILLE+14221+54703+[-78.738044, 42.985621]
NY+BUFFALO+14222+12712+[-78.876333, 42.916401]
NY+BUFFALO+14223+25995+[-78.845, 42.973088]
NY+WEST SENECA+14224+41539+[-78.75109, 42.836162]
NY+CHEEKTOWAGA+14225+37707+[-78.760855, 42.928641999999996]
NY+AMHERST+14226+31912+[-78.799849, 42.967232]
NY+CHEEKTOWAGA+14227+25240+[-78.741936, 42.877467]
NY+AMHERST+14228+1813+[-78.774604, 43.018414]
NY+NIAGARA FALLS+14301+15756+[-79.041443, 43.095467]
NY+NIAGARA FALLS+14303+8616+[-79.036958, 43.087777]
NY+NIAGARA FALLS+14304+30527+[-78.964375, 43.090844]
NY+NIAGARA FALLS+14305+22726+[-79.037804, 43.114648]
NY+ADAMS BASIN+14410+989+[-77.853905, 43.190644]
NY+ALBION+14411+12743+[-78.206846, 43.239827]
NY+AVON+14414+6187+[-77.727398, 42.903034]
NY+BELLONA+14415+182+[-77.021737, 42.755442]
NY+BERGEN+14416+3092+[-77.96033, 43.086937]
NY+BRANCHPORT+14418+1126+[-77.205165, 42.606537]
NY+BROCKPORT+14420+17492+[-77.936797, 43.21284]
NY+BYRON+14422+2499+[-78.062912, 43.073794]
NY+CALEDONIA+14423+4942+[-77.849295, 42.956661]
NY+CANANDAIGUA+14424+20748+[-77.284561, 42.868866]
NY+CANANDAIGUA+14425+10082+[-77.341139, 42.959591]
NY+CASTILE+14427+2169+[-78.054728, 42.635883]
NY+CLIFTON+14428+6481+[-77.860339, 43.089617]
NY+CLIFTON SPRINGS+14432+5060+[-77.143975, 42.963175]
NY+CLYDE+14433+4565+[-76.872464, 43.085549]
NY+CONESUS+14435+2364+[-77.67469, 42.721643]
NY+DANSVILLE+14437+8804+[-77.710907, 42.569975]
NY+DRESDEN+14441+381+[-76.956389, 42.684565]
NY+EAST ROCHESTER+14445+8868+[-77.490596, 43.112808]
NY+FAIRPORT+14450+37337+[-77.435956, 43.089198]
NY+GENESEO+14454+9551+[-77.799552, 42.793783]
NY+GENEVA+14456+20112+[-76.991349, 42.86372]
NY+GROVELAND+14462+483+[-77.757334, 42.676046]
NY+HAMLIN+14464+7355+[-77.926996, 43.307577]
NY+HEMLOCK+14466+1160+[-77.58199, 42.779957]
NY+HENRIETTA+14467+8450+[-77.612224, 43.048264]
NY+HILTON+14468+15837+[-77.790511, 43.292344]
NY+BLOOMFIELD+14469+6129+[-77.459983, 42.885101]
NY+HULBERTON+14470+8375+[-78.040392, 43.225494]
NY+HONEOYE+14471+2704+[-77.505434, 42.768637]
NY+HONEOYE FALLS+14472+6768+[-77.57812, 42.969499]
NY+IONIA+14475+232+[-77.50086, 42.938002]
NY+KENDALL+14476+2186+[-78.030359, 43.328415]
NY+KENT+14477+2040+[-78.135533, 43.334064]
NY+BLUFF POINT+14478+1555+[-77.105197, 42.601032000000004]
NY+LAKEVILLE+14480+724+[-77.714865, 42.82957]
NY+LEICESTER+14481+1881+[-77.898976, 42.773903]
NY+LE ROY+14482+9037+[-77.985097, 42.977377]
NY+LIMA+14485+4666+[-77.608305, 42.901234]
NY+LINWOOD+14486+860+[-77.910422, 42.884721]
NY+LIVONIA+14487+6108+[-77.663472, 42.813514]
NY+LYONS+14489+8168+[-76.989575, 43.07768]
NY+MACEDON+14502+8486+[-77.337199, 43.078366]
NY+MANCHESTER+14504+1522+[-77.229733, 42.969874]
NY+MARION+14505+4663+[-77.186277, 43.154612]
NY+MENDON+14506+864+[-77.50013, 42.995307]
NY+MIDDLESEX+14507+1256+[-77.280509, 42.697624]
NY+TUSCARORA+14510+7145+[-77.861083, 42.705431]
NY+NAPLES+14512+4616+[-77.390106, 42.640425]
NY+NEWARK+14513+14670+[-77.094602, 43.051909]
NY+NORTH CHILI+14514+4014+[-77.800518, 43.118601]
NY+NORTH ROSE+14516+2428+[-76.915152, 43.196439]
NY+NUNDA+14517+2439+[-77.918006, 42.586708]
NY+ONTARIO+14519+10016+[-77.308781, 43.229092]
NY+HAYT CORNERS+14521+3225+[-76.821575, 42.676979]
NY+PALMYRA+14522+9486+[-77.221798, 43.062192]
NY+LINWOOD+14525+2628+[-78.014698, 42.880088]
NY+PENFIELD+14526+16675+[-77.456043, 43.139638]
NY+PENN YAN+14527+11609+[-77.05687, 42.664547999999996]
NY+PERRY+14530+6218+[-78.005882, 42.722852]
NY+PHELPS+14532+4366+[-77.047264, 42.958178]
NY+WADSWORTH+14533+2094+[-77.882545, 42.84269]
NY+PITTSFORD+14534+27413+[-77.514067, 43.069511]
NY+PORTAGEVILLE+14536+980+[-78.085635, 42.556957]
NY+MAC DOUGALL+14541+3150+[-76.853582, 42.761378]
NY+WEST RUSH+14543+2481+[-77.665381, 42.998934]
NY+RUSHVILLE+14544+1948+[-77.239538, 42.75973]
NY+SCOTTSBURG+14545+612+[-77.682633, 42.658907]
NY+SCOTTSVILLE+14546+5604+[-77.774256, 43.02462]
NY+SHORTSVILLE+14548+4524+[-77.227312, 42.969034]
NY+ROCK GLEN+14550+1824+[-78.092994, 42.669446]
NY+SODUS+14551+5831+[-77.05141, 43.221681]
NY+SODUS POINT+14555+1058+[-76.98833, 43.265058]
NY+SPENCERPORT+14559+14137+[-77.804333, 43.189502]
NY+SPRINGWATER+14560+2319+[-77.577503, 42.677598]
NY+STANLEY+14561+3102+[-77.120702, 42.830277]
NY+VICTOR+14564+7322+[-77.417982, 42.986597]
NY+WALWORTH+14568+5461+[-77.28582, 43.140161]
NY+WARSAW+14569+5811+[-78.142899, 42.741035]
NY+WATERPORT+14571+1669+[-78.242958, 43.332563]
NY+WAYLAND+14572+5626+[-77.590613, 42.559274]
NY+WEBSTER+14580+35072+[-77.461587, 43.219563]
NY+WEST HENRIETTA+14586+5397+[-77.687131, 43.039667]
NY+WILLIAMSON+14589+7947+[-77.170011, 43.242071]
NY+WOLCOTT+14590+5356+[-76.821748, 43.234129]
NY+WYOMING+14591+2074+[-78.083292, 42.83175]
NY+ROCHESTER+14604+1434+[-77.607978, 43.157729]
NY+ROCHESTER+14605+15196+[-77.600711, 43.169758]
NY+ROCHESTER+14606+29822+[-77.684488, 43.168455]
NY+ROCHESTER+14607+16479+[-77.588976, 43.150086]
NY+ROCHESTER+14608+14631+[-77.625803, 43.152144]
NY+ROCHESTER+14609+45805+[-77.563701, 43.174001]
NY+ROCHESTER+14610+15167+[-77.549501, 43.14524]
NY+ROCHESTER+14611+15951+[-77.639353, 43.148375]
NY+ROCHESTER+14612+35820+[-77.665228, 43.256576]
NY+ROCHESTER+14613+15525+[-77.639276, 43.18308]
NY+ROCHESTER+14614+1430+[-77.61419, 43.155823]
NY+ROCHESTER+14615+16000+[-77.652118, 43.20575]
NY+GREECE+14616+26500+[-77.651238, 43.232359]
NY+ROCHESTER+14617+24296+[-77.599442, 43.220258]
NY+TWELVE CORNERS+14618+21912+[-77.558801, 43.115416]
NY+ROCHESTER+14619+19393+[-77.6481, 43.136685]
NY+ROCHESTER+14620+29819+[-77.606239, 43.131711]
NY+ROCHESTER+14621+36055+[-77.604284, 43.183362]
NY+ROCHESTER+14622+12489+[-77.55549, 43.213959]
NY+ROCHESTER+14623+25127+[-77.634412, 43.083371]
NY+WESTGATE+14624+35748+[-77.733552, 43.12589]
NY+PANORAMA+14625+12009+[-77.503188, 43.14949]
NY+ROCHESTER+14626+25574+[-77.703996, 43.21257]
NY+JAMESTOWN+14701+45344+[-79.243989, 42.092845]
NY+ALLEGANY+14706+7885+[-78.499883, 42.091827]
NY+ALMA+14708+200+[-78.040012, 42.016859]
NY+ANGELICA+14709+1046+[-77.994671, 42.326339]
NY+ASHVILLE+14710+2450+[-79.405624, 42.108376]
NY+BELFAST+14711+2210+[-78.094281, 42.320013]
NY+BEMUS POINT+14712+3591+[-79.35808, 42.151346]
NY+BLACK CREEK+14714+757+[-78.231249, 42.285528]
NY+BOLIVAR+14715+3173+[-78.144834, 42.070442]
NY+BROCTON+14716+1863+[-79.43443, 42.393973]
NY+CANEADEA+14717+798+[-78.197321, 42.370304]
NY+CASSADAGA+14718+1977+[-79.299282, 42.350356]
NY+CATTARAUGUS+14719+3853+[-78.888528, 42.333291]
NY+CERES+14721+33+[-78.272686, 41.99939]
NY+CHERRY CREEK+14723+1408+[-79.120275, 42.312725]
NY+CLYMER+14724+2810+[-79.668532, 42.055699]
NY+CONEWANGO VALLEY+14726+1562+[-79.021956, 42.262467]
NY+CUBA+14727+5306+[-78.275074, 42.18819]
NY+DEWITTVILLE+14728+1159+[-79.419303, 42.239413]
NY+EAST OTTO+14729+1050+[-78.743167, 42.3971]
NY+ELLICOTTVILLE+14731+1767+[-78.66064, 42.295873]
NY+FALCONER+14733+3812+[-79.189499, 42.123915]
NY+FILLMORE+14735+2463+[-78.106232, 42.463605]
NY+FINDLEY LAKE+14736+77+[-79.734908, 42.120401]
NY+FRANKLINVILLE+14737+3965+[-78.440043, 42.338823]
NY+FREWSBURG+14738+3919+[-79.131797, 42.052753]
NY+FRIENDSHIP+14739+3214+[-78.13588, 42.190666]
NY+GERRY+14740+1836+[-79.164865, 42.214728]
NY+GREAT VALLEY+14741+2217+[-78.620811, 42.208292]
NY+ISCHUA+14743+2635+[-78.400611, 42.179747]
NY+HOUGHTON+14744+173+[-78.109506, 42.411567]
NY+KENNEDY+14747+2719+[-79.096416, 42.150776]
NY+KILL BUCK+14748+47+[-78.642604, 42.141005]
NY+LAKEWOOD+14750+5113+[-79.329124, 42.097256]
NY+LIMESTONE+14753+1981+[-78.631979, 42.063945]
NY+LITTLE GENESEE+14754+1240+[-78.235056, 42.023964]
NY+LITTLE VALLEY+14755+2311+[-78.809286, 42.254121]
NY+MAYVILLE+14757+3378+[-79.496325, 42.240906]
NY+OLEAN+14760+22055+[-78.423265, 42.0787]
NY+PANAMA+14767+2437+[-79.481536, 42.056965]
NY+PORTLAND+14769+2001+[-79.458894, 42.385792]
NY+PORTVILLE+14770+1743+[-78.331353, 42.027253]
NY+RANDOLPH+14772+4253+[-78.960034, 42.163143]
NY+RIPLEY+14775+2876+[-79.712103, 42.248175]
NY+RUSHFORD+14777+2701+[-78.186704, 42.417216]
NY+SALAMANCA+14779+8632+[-78.73042, 42.16035]
NY+SHERMAN+14781+2184+[-79.585742, 42.163124]
NY+SINCLAIRVILLE+14782+3065+[-79.267297, 42.24548]
NY+STOCKTON+14784+1894+[-79.375792, 42.318195]
NY+WESTFIELD+14787+5872+[-79.572646, 42.321977]
NY+ADDISON+14801+4967+[-77.266027, 42.09825]
NY+ALFRED+14802+4559+[-77.79295, 42.255165]
NY+ALFRED STATION+14803+1071+[-77.778084, 42.255799]
NY+ALMOND+14804+1642+[-77.777965, 42.316036]
NY+ALPINE+14805+1098+[-76.734775, 42.351014]
NY+ANDOVER+14806+2489+[-77.792008, 42.157454]
NY+ARKPORT+14807+2937+[-77.691778, 42.422466]
NY+ATLANTA+14808+472+[-77.480091, 42.556269]
NY+WALLACE+14809+2448+[-77.434254, 42.41513]
NY+VETERANS ADMINIS+14810+12982+[-77.323255, 42.345451]
NY+BEAVER DAMS+14812+3765+[-76.971953, 42.279763]
NY+BELMONT+14813+1773+[-78.01103, 42.233409]
NY+BIG FLATS+14814+1892+[-76.952721, 42.145509]
NY+BRADFORD+14815+944+[-77.09134, 42.382517]
NY+BREESPORT+14816+160+[-76.73612, 42.19392]
NY+BROOKTONDALE+14817+2665+[-76.366844, 42.37653]
NY+BURDETT+14818+1714+[-76.829219, 42.439442]
NY+CAMERON+14819+698+[-77.440341, 42.21284]
NY+CAMERON MILLS+14820+723+[-77.364976, 42.192547]
NY+CAMPBELL+14821+2966+[-77.206619, 42.238569]
NY+CANASERAGA+14822+1458+[-77.795374, 42.458504]
NY+CANISTEO+14823+3945+[-77.589706, 42.263503]
NY+CAYUTA+14824+599+[-76.697367, 42.277445]
NY+CHEMUNG+14825+615+[-76.620224, 42.039243]
NY+COHOCTON+14826+2286+[-77.499763, 42.500315]
NY+CORNING+14830+19957+[-77.047546, 42.138331]
NY+DALTON+14836+875+[-77.928889, 42.544895]
NY+DUNDEE+14837+5125+[-77.002773, 42.505261]
NY+ERIN+14838+2053+[-76.681942, 42.185898]
NY+GREENWOOD+14839+927+[-77.636041, 42.139809]
NY+HAMMONDSPORT+14840+3068+[-77.197702, 42.431217]
NY+HECTOR+14841+147+[-76.878597, 42.49658]
NY+HIMROD+14842+726+[-76.950774, 42.594454999999996]
NY+HORNELL+14843+14311+[-77.656907, 42.327393]
NY+HORSEHEADS+14845+20799+[-76.834539, 42.180493]
NY+HUNT+14846+1236+[-77.981839, 42.538821]
NY+INTERLAKEN+14847+2148+[-76.726798, 42.616524]
NY+ITHACA COLLEGE+14850+40760+[-76.492911, 42.448497]
NY+ITHACA+14853+20379+[-76.488707, 42.443087]
NY+JASPER+14855+870+[-77.499909, 42.128962]
NY+LINDLEY+14858+1765+[-77.154132, 42.042483]
NY+LOCKWOOD+14859+951+[-76.536618, 42.114943]
NY+LODI+14860+1209+[-76.833904, 42.596555]
NY+LOWMAN+14861+2338+[-76.693005, 42.06938]
NY+MILLPORT+14864+1432+[-76.839233, 42.258084]
NY+MONTOUR FALLS+14865+2851+[-76.839581, 42.343678]
NY+NEWFIELD+14867+5311+[-76.591978, 42.362137]
NY+ODESSA+14869+1471+[-76.771698, 42.360947]
NY+PAINTED POST+14870+9269+[-77.119375, 42.170967]
NY+PINE CITY+14871+4911+[-76.881519, 42.041938]
NY+PINE VALLEY+14872+252+[-76.865206, 42.234795]
NY+PRATTSBURG+14873+2534+[-77.282455, 42.526918]
NY+PULTENEY+14874+504+[-77.169108, 42.523275]
NY+REXVILLE+14877+539+[-77.676663, 42.072645]
NY+ROCK STREAM+14878+703+[-76.936436, 42.448511]
NY+SAVONA+14879+1982+[-77.208345, 42.30407]
NY+SCIO+14880+2491+[-77.990026, 42.169703]
NY+SLATERVILLE SPRI+14881+107+[-76.315677, 42.401119]
NY+LANSING+14882+4043+[-76.537455, 42.564494]
NY+SPENCER+14883+3829+[-76.489853, 42.246736]
NY+SWAIN+14884+267+[-77.88899, 42.477314]
NY+TROUPSBURG+14885+831+[-77.550208, 42.050083]
NY+TRUMANSBURG+14886+6379+[-76.668145, 42.520987]
NY+VALOIS+14888+547+[-76.860879, 42.524304]
NY+VAN ETTEN+14889+1477+[-76.571663, 42.208455]
NY+WATKINS GLEN+14891+4584+[-76.90215, 42.377121]
NY+WAVERLY+14892+8262+[-76.533308, 42.017228]
NY+WELLSBURG+14894+2829+[-76.772315, 42.027317]
NY+WELLSVILLE+14895+9645+[-77.94191, 42.110757]
NY+WHITESVILLE+14897+1178+[-77.810615, 42.045586]
NY+WOODHULL+14898+1318+[-77.420333, 42.073638]
NY+ELMIRA+14901+19037+[-76.811977, 42.100769]
NY+ELMIRA HEIGHTS+14903+7918+[-76.843572, 42.130203]
NY+ELMIRA+14904+18103+[-76.803735, 42.072866]
NY+ELMIRA+14905+10018+[-76.839686, 42.086919]
PA+MACARTHUR+15001+36849+[-80.281567, 40.604424]
PA+FAIROAKS+15003+13449+[-80.219778, 40.595368]
PA+BADEN+15005+10068+[-80.198471, 40.641595]
PA+BAKERSTOWN+15007+782+[-79.930956, 40.647826]
PA+BEAVER+15009+14968+[-80.336528, 40.697184]
PA+RACINE+15010+30623+[-80.33988, 40.766234]
PA+ROSTRAVER+15012+18967+[-79.83454, 40.14368]
PA+BRACKENRIDGE+15014+3674+[-79.741375, 40.608223]
PA+BRADFORDWOODS+15015+2319+[-80.082305, 40.634175]
PA+BRIDGEVILLE+15017+12705+[-80.115293, 40.347195]
PA+BUENA VISTA+15018+1186+[-79.791874, 40.278635]
